query (incomplete)	target (complete)	score
Soil11.scaffold_231814530_c1_1	Soil16.scaffold_313969256_c1_10	4.890052356020942
Soil11.scaffold_522683875_c1_1	Soil3.scaffold_285743490_c1_2	5.216508795669824
Soil11.scaffold_465267592_c1_1	T0.scaffold_172278247_c1_4	5.0
Soil11.scaffold_287640331_c1_2	T0.scaffold_786865677_c1_2	3.884375
Soil11.scaffold_404038970_c1_1	Soil3.scaffold_408070428_c1_2	4.511111111111111
Soil11.scaffold_589122127_c1_1	Soil17.scaffold_1202428475_c1_2	5.454798331015299
Soil11.scaffold_213870155_c1_1	Soil3.scaffold_285743490_c1_2	5.355742296918767
Soil11.scaffold_76270542_c1_1	Soil14.scaffold_280216268_c1_12	4.445544554455446
Soil11.scaffold_666531250_c1_1	Soil5.scaffold_249001418_c1_2	4.045340050377834
Soil11.scaffold_392700608_c1_1	Soil5.scaffold_544698016_c1_2	5.439522998296423
Soil11.scaffold_206646321_c1_1	T0.scaffold_786865677_c1_2	5.435406698564593
Soil11.scaffold_119715110_c1_2	Soil5.scaffold_544698016_c1_2	4.528641571194763
Soil11.scaffold_437898375_c1_1	Soil16.scaffold_1312607544_c1_3	4.886363636363637
Soil11.scaffold_402009592_c1_1	Soil3.scaffold_530221301_c1_2	5.425196850393701
Soil11.scaffold_297010056_c1_1	Soil3.scaffold_414071996_c1_8	4.303030303030303
Soil12.scaffold_511848277_c1_1	Soil12.scaffold_266712765_c1_2	5.010526315789473
Soil12.scaffold_897260858_c1_1	Soil6.scaffold_312871021_c1_4	5.345238095238095
Soil12.scaffold_750527831_c1_1	Soil6.scaffold_95998780_c1_2	4.891025641025641
Soil12.scaffold_666676376_c1_1	Soil16.scaffold_804923086_c1_3	5.014141414141414
Soil12.scaffold_1470442_c1_1	Soil5.scaffold_82918708_c1_12	4.908713692946058
Soil12.scaffold_24692167_c1_1	T0.scaffold_786865677_c1_2	5.125
Soil12.scaffold_35843989_c1_1	Soil9.scaffold_175774837_c1_4	4.24609375
Soil12.scaffold_834620244_c1_1	Soil16.scaffold_804923086_c1_3	4.76878612716763
Soil12.scaffold_464252475_c1_1	Soil16.scaffold_313969256_c1_10	4.497395833333333
Soil12.scaffold_722959202_c1_8	Soil3.scaffold_408070428_c1_2	5.185714285714286
Soil12.scaffold_183311926_c1_2	Soil6.scaffold_460055642_c1_2	5.481751824817518
Soil12.scaffold_271130909_c1_1	Soil14.scaffold_280216268_c1_12	5.546816479400749
Soil12.scaffold_812069170_c1_1	T0.scaffold_961428012_c1_71	5.1875
Soil12.scaffold_674568068_c1_1	T0.scaffold_786865677_c1_2	4.971153846153846
Soil12.scaffold_981405074_c1_1	Soil9.scaffold_766455321_c1_2	5.2
Soil12.scaffold_33364383_c1_1	Soil5.scaffold_249001418_c1_2	4.028128031037827
Soil12.scaffold_322787435_c1_1	Soil15.scaffold_116822102_c1_19	4.751540041067762
Soil12.scaffold_898807201_c1_1	Soil11.scaffold_211583530_c1_6	5.446745562130178
Soil12.scaffold_867417568_c1_1	Soil17.scaffold_1045002370_c1_23	5.353932584269663
Soil12.scaffold_429967949_c1_2	T0.scaffold_786865677_c1_2	4.581967213114754
Soil12.scaffold_411182367_c1_117	T0.scaffold_961428012_c1_71	4.532258064516129
Soil12.scaffold_547080304_c1_1	Soil3.scaffold_414071996_c1_8	4.289156626506024
Soil12.scaffold_29882437_c1_2	Soil16.scaffold_313969256_c1_10	3.922920892494929
Soil12.scaffold_758069014_c1_2	Soil17.scaffold_332687915_c1_2	4.968627450980392
Soil12.scaffold_184499178_c1_3	Soil16.scaffold_1312607544_c1_3	5.329166666666667
Soil12.scaffold_767270569_c1_1	Soil14.scaffold_465502786_c1_2	5.3651226158038146
Soil12.scaffold_623841069_c1_1	Soil16.scaffold_804923086_c1_3	5.201030927835052
Soil12.scaffold_947021023_c1_1	Soil17.scaffold_274056314_c1_61	4.371951219512195
Soil12.scaffold_809423845_c1_1	T0.scaffold_172278247_c1_4	4.736994219653179
Soil12.scaffold_433272895_c1_2	Soil16.scaffold_313969256_c1_10	4.277511961722488
Soil12.scaffold_733062935_c1_1	Soil11.scaffold_65427810_c1_20	5.44070796460177
Soil12.scaffold_952091012_c1_1	Soil15.scaffold_16321085_c1_6	5.213483146067416
Soil12.scaffold_790547484_c1_1	Soil17.scaffold_332687915_c1_2	4.613953488372093
Soil12.scaffold_289231631_c1_1	Soil5.scaffold_215117222_c1_59	4.707357859531773
Soil12.scaffold_641498763_c1_1	Soil15.scaffold_16321085_c1_6	4.993016759776537
Soil12.scaffold_659541611_c1_1	Soil17.scaffold_1045002370_c1_23	5.293838862559242
Soil12.scaffold_378189845_c1_1	Soil11.scaffold_587233302_c1_1	4.930232558139535
Soil12.scaffold_802481357_c1_1	Soil15.scaffold_116822102_c1_19	4.501607717041801
Soil12.scaffold_127354460_c1_1	Soil6.scaffold_86801766_c1_2	4.755584756898817
Soil14.scaffold_767870164_c1_1	Soil17.scaffold_332687915_c1_2	4.878306878306878
Soil14.scaffold_618164533_c1_1	Soil3.scaffold_285743490_c1_2	4.659685863874346
Soil14.scaffold_1015403638_c1_1	Soil17.scaffold_918557319_c1_2	5.044776119402985
Soil14.scaffold_781223675_c1_1	Soil16.scaffold_313969256_c1_10	5.393939393939394
Soil14.scaffold_284095619_c1_1	Soil5.scaffold_249001418_c1_2	4.4888178913738015
Soil14.scaffold_934828535_c1_3	Soil6.scaffold_95998780_c1_2	4.826513911620294
Soil14.scaffold_105183005_c1_1	Soil11.scaffold_587233302_c1_1	5.0663507109004735
Soil14.scaffold_740372462_c1_1	T0.scaffold_786865677_c1_2	4.3244444444444445
Soil14.scaffold_1008884942_c1_1	Soil15.scaffold_16321085_c1_6	5.064814814814815
Soil14.scaffold_683158403_c1_1	Soil5.scaffold_249001418_c1_2	4.581138487680544
Soil14.scaffold_320975943_c1_1	Soil11.scaffold_587233302_c1_1	4.720125786163522
Soil14.scaffold_511011747_c1_1	Soil16.scaffold_1312607544_c1_3	4.733924611973393
Soil14.scaffold_845528592_c1_1	Soil16.scaffold_804923086_c1_3	4.82138517618469
Soil14.scaffold_407633006_c1_1	Soil11.scaffold_587233302_c1_1	5.227611940298507
Soil14.scaffold_11536761_c1_1	Soil16.scaffold_1312607544_c1_3	4.66449814126394
Soil14.scaffold_508850392_c1_1	Soil16.scaffold_804923086_c1_3	4.624390243902439
Soil14.scaffold_703074554_c1_1	Soil9.scaffold_766455321_c1_2	4.773429454170958
Soil14.scaffold_788282410_c1_1	Soil16.scaffold_804923086_c1_3	5.001751313485114
Soil14.scaffold_696113849_c1_1	Soil9.scaffold_175774837_c1_4	4.668693009118541
Soil15.scaffold_858277895_c1_1	Soil15.scaffold_175810641_c1_3	5.087136929460581
Soil15.scaffold_339706478_c1_2	Soil15.scaffold_116822102_c1_19	4.875647668393782
Soil15.scaffold_1182777590_c1_38	Soil14.scaffold_576820813_c1_40	5.419902912621359
Soil15.scaffold_1258541897_c1_1	Soil16.scaffold_804923086_c1_3	5.123529411764705
Soil15.scaffold_560696117_c1_1	Soil16.scaffold_313969256_c1_10	4.211699164345404
Soil15.scaffold_844714236_c1_1	Soil11.scaffold_587233302_c1_1	4.73440643863179
Soil15.scaffold_10724941_c1_1	Soil5.scaffold_215117222_c1_59	5.015873015873016
Soil15.scaffold_43394979_c1_1	Soil16.scaffold_313969256_c1_10	4.079787234042553
Soil15.scaffold_602222018_c1_1	Soil16.scaffold_313969256_c1_10	4.847058823529411
Soil15.scaffold_698711956_c1_2	Soil15.scaffold_116822102_c1_19	4.641050583657588
Soil15.scaffold_418520736_c1_1	Soil5.scaffold_249001418_c1_2	3.992424242424242
Soil15.scaffold_1105081828_c1_1	Soil15.scaffold_116822102_c1_19	4.863247863247863
Soil15.scaffold_1069415557_c1_1	Soil16.scaffold_436666653_c1_2	5.371929824561404
Soil15.scaffold_1122939700_c1_1	Soil3.scaffold_285743490_c1_2	3.298429319371728
Soil15.scaffold_573965809_c1_1	Soil11.scaffold_587233302_c1_1	5.026315789473684
Soil15.scaffold_515991602_c1_2	Soil11.scaffold_587233302_c1_1	4.83419689119171
Soil15.scaffold_1154465524_c1_1	Soil11.scaffold_587233302_c1_1	4.901960784313726
Soil15.scaffold_255149711_c1_1	Soil16.scaffold_804923086_c1_3	4.616895874263261
Soil15.scaffold_60684249_c1_1	Soil6.scaffold_86801766_c1_2	5.111111111111111
Soil15.scaffold_380520226_c1_1	Soil11.scaffold_587233302_c1_1	4.181034482758621
Soil15.scaffold_162675515_c1_1	Soil16.scaffold_804923086_c1_3	3.3009708737864076
Soil15.scaffold_652652217_c1_1	Soil3.scaffold_408070428_c1_2	4.53168044077135
Soil15.scaffold_468910569_c1_1	Soil16.scaffold_313969256_c1_10	5.188679245283019
Soil15.scaffold_437702843_c1_1	Soil5.scaffold_249001418_c1_2	3.9587426326129664
Soil15.scaffold_923890028_c1_2	Soil11.scaffold_587233302_c1_1	5.002369668246446
Soil15.scaffold_674474608_c1_1	T0.scaffold_786865677_c1_2	3.988069414316703
Soil15.scaffold_1032666841_c1_1	T0.scaffold_172278247_c1_4	4.327659574468085
Soil15.scaffold_973855935_c1_1	Soil16.scaffold_313969256_c1_10	5.063897763578275
Soil16.scaffold_1221215139_c1_1	Soil16.scaffold_804923086_c1_3	4.996
Soil16.scaffold_817093401_c1_1	Soil5.scaffold_395480119_c1_5	4.229166666666667
Soil16.scaffold_1078417100_c1_2	Soil16.scaffold_313969256_c1_10	4.812664907651715
Soil16.scaffold_990645696_c1_23	Soil16.scaffold_804923086_c1_3	4.184782608695652
Soil16.scaffold_1385083464_c1_1	Soil11.scaffold_211583530_c1_6	5.186915887850467
Soil16.scaffold_754367993_c1_1	Soil6.scaffold_95998780_c1_2	4.863945578231292
Soil16.scaffold_437917189_c1_1	Soil11.scaffold_587233302_c1_1	4.654427645788337
Soil16.scaffold_1177504530_c1_1	Soil16.scaffold_436666653_c1_2	5.267206477732794
Soil16.scaffold_30827106_c1_1	Soil6.scaffold_460055642_c1_2	4.788288288288288
Soil16.scaffold_452052314_c1_1	Soil5.scaffold_215117222_c1_59	5.220183486238532
Soil16.scaffold_494804418_c1_1	Soil16.scaffold_313969256_c1_10	4.202127659574468
Soil16.scaffold_785150334_c1_2	Soil16.scaffold_313969256_c1_10	4.96113074204947
Soil16.scaffold_1003811286_c1_1	Soil15.scaffold_16321085_c1_6	5.481060606060606
Soil16.scaffold_1215073673_c1_1	Soil6.scaffold_312871021_c1_4	4.96045197740113
Soil16.scaffold_241688877_c1_1	Soil11.scaffold_587233302_c1_1	4.894736842105263
Soil16.scaffold_718712853_c1_1	Soil16.scaffold_804923086_c1_3	4.8131359851988895
Soil16.scaffold_640953118_c1_1	T0.scaffold_786865677_c1_2	3.8735632183908044
Soil16.scaffold_944968282_c1_2	Soil17.scaffold_918557319_c1_2	4.577478344562079
Soil16.scaffold_131802601_c1_1	Soil16.scaffold_313969256_c1_10	4.549469964664311
Soil16.scaffold_444210924_c1_1	Soil6.scaffold_460055642_c1_2	5.334375
Soil16.scaffold_442284414_c1_1	Soil15.scaffold_16321085_c1_6	5.066298342541437
Soil16.scaffold_1079540088_c1_1	Soil5.scaffold_215117222_c1_59	4.432584269662922
Soil16.scaffold_1294091472_c1_1	Soil17.scaffold_1202428475_c1_2	5.423269809428285
Soil16.scaffold_67981442_c1_1	Soil5.scaffold_215117222_c1_59	4.778393351800554
Soil16.scaffold_1022553779_c1_1	Soil11.scaffold_587233302_c1_1	5.104651162790698
Soil16.scaffold_183868895_c1_1	T0.scaffold_172278247_c1_4	4.948008849557522
Soil16.scaffold_1345785514_c1_1	Soil16.scaffold_313969256_c1_10	4.9884615384615385
Soil16.scaffold_740495249_c1_1	Soil16.scaffold_313969256_c1_10	3.74468085106383
Soil16.scaffold_848262660_c1_1	Soil6.scaffold_86801766_c1_2	4.755584756898817
Soil16.scaffold_1109161963_c1_1	Soil16.scaffold_313969256_c1_10	4.196018376722818
Soil16.scaffold_1000220130_c1_1	Soil16.scaffold_313969256_c1_10	4.283236994219653
Soil16.scaffold_284770402_c1_10	Soil15.scaffold_116822102_c1_19	4.808285163776493
Soil16.scaffold_1328109982_c1_1	T0.scaffold_786865677_c1_2	4.161671207992734
Soil16.scaffold_598362400_c1_1	Soil11.scaffold_65427810_c1_20	4.467625899280575
Soil16.scaffold_943158851_c1_1	Soil16.scaffold_804923086_c1_3	4.527638190954774
Soil16.scaffold_235695670_c1_1	Soil5.scaffold_549495455_c1_6	4.836158192090395
Soil16.scaffold_1189563498_c1_1	Soil6.scaffold_95998780_c1_2	4.88421052631579
Soil17.scaffold_1322787586_c1_1	Soil16.scaffold_804923086_c1_3	4.802047781569966
Soil17.scaffold_694072686_c1_1	Soil5.scaffold_416434691_c1_48	4.569444444444445
Soil17.scaffold_599525779_c1_2	Soil14.scaffold_576820813_c1_40	5.268758526603001
Soil17.scaffold_170226348_c1_1	Soil14.scaffold_280216268_c1_12	4.979166666666667
Soil17.scaffold_940744809_c1_2	Soil16.scaffold_804923086_c1_3	4.747457627118644
Soil17.scaffold_841705790_c1_1	Soil16.scaffold_804923086_c1_3	4.778067885117493
Soil17.scaffold_268315934_c1_1	Soil11.scaffold_587233302_c1_1	5.155642023346304
Soil17.scaffold_146768584_c1_1	Soil16.scaffold_804923086_c1_3	5.243670886075949
Soil17.scaffold_1292277973_c1_1	Soil16.scaffold_436666653_c1_2	5.099173553719008
Soil17.scaffold_1217365402_c1_1	Soil6.scaffold_86801766_c1_2	4.680497925311204
Soil17.scaffold_561235403_c1_1	Soil5.scaffold_215117222_c1_59	4.45260663507109
Soil17.scaffold_63240252_c1_1	Soil16.scaffold_804923086_c1_3	4.420118343195266
Soil17.scaffold_221362183_c1_2	Soil17.scaffold_1202428475_c1_2	4.317596566523605
Soil17.scaffold_489938669_c1_1	Soil11.scaffold_587233302_c1_1	4.316666666666666
Soil17.scaffold_576147551_c1_1	Soil16.scaffold_804923086_c1_3	4.995348837209303
Soil17.scaffold_887102174_c1_3	Soil16.scaffold_804923086_c1_3	4.67420814479638
Soil17.scaffold_1292703274_c1_2	Soil6.scaffold_86801766_c1_2	4.6728697355533795
Soil17.scaffold_110117194_c1_1	Soil15.scaffold_175810641_c1_3	5.405172413793103
Soil17.scaffold_396292634_c1_1	Soil16.scaffold_804923086_c1_3	5.0055555555555555
Soil17.scaffold_1315619254_c1_1	Soil16.scaffold_313969256_c1_10	5.395480225988701
Soil17.scaffold_1233760010_c1_1	Soil11.scaffold_65427810_c1_20	4.436548223350254
Soil17.scaffold_1260026387_c1_1	Soil11.scaffold_65427810_c1_20	4.506550218340611
Soil17.scaffold_373813518_c1_1	Soil17.scaffold_1202428475_c1_2	3.682634730538922
Soil17.scaffold_1071092128_c1_1	Soil17.scaffold_918557319_c1_2	4.506364922206506
Soil17.scaffold_186252750_c1_1	Soil16.scaffold_804923086_c1_3	4.873873873873874
Soil17.scaffold_1067865600_c1_1	Soil11.scaffold_587233302_c1_1	4.810457516339869
Soil17.scaffold_133787210_c1_1	Soil16.scaffold_1312607544_c1_3	5.422857142857143
Soil17.scaffold_349296708_c1_1	Soil11.scaffold_587233302_c1_1	4.8228460793804455
Soil3.scaffold_359157672_c1_1	Soil6.scaffold_86801766_c1_2	4.6846473029045645
Soil3.scaffold_200704966_c1_1	T0.scaffold_172278247_c1_4	5.416267942583732
Soil3.scaffold_432791054_c1_1	Soil6.scaffold_95998780_c1_2	4.62917933130699
Soil3.scaffold_375487153_c1_3	Soil3.scaffold_414071996_c1_8	4.47
Soil3.scaffold_71126171_c1_1	Soil5.scaffold_416434691_c1_48	5.4206471494607085
Soil3.scaffold_365103124_c1_1	Soil3.scaffold_408070428_c1_2	3.9174917491749173
Soil3.scaffold_63658123_c1_64	Soil9.scaffold_175774837_c1_4	4.761441090555015
Soil3.scaffold_555174858_c1_1	Soil9.scaffold_209032411_c1_3	4.872791519434629
Soil3.scaffold_611139327_c1_1	T0.scaffold_273218771_c1_2	4.685483870967742
Soil3.scaffold_375798447_c1_1	Soil6.scaffold_95998780_c1_2	4.98581560283688
Soil3.scaffold_401447268_c1_1	Soil5.scaffold_249001418_c1_2	4.622183708838821
Soil3.scaffold_432205656_c1_9	Soil17.scaffold_332687915_c1_2	4.622739018087855
Soil3.scaffold_253488375_c1_4	T0.scaffold_273218771_c1_2	4.8017391304347825
Soil3.scaffold_205290258_c1_1	T0.scaffold_786865677_c1_2	4.9226190476190474
Soil3.scaffold_176441362_c1_15	Soil16.scaffold_313969256_c1_10	5.004524886877828
Soil3.scaffold_529231200_c1_1	Soil5.scaffold_183283646_c1_24	5.1375404530744335
Soil3.scaffold_31685847_c1_1	T0.scaffold_172278247_c1_4	5.1925
Soil3.scaffold_368174673_c1_1	Soil3.scaffold_530221301_c1_2	4.628458498023716
Soil3.scaffold_592698439_c1_1	Soil5.scaffold_249001418_c1_2	4.332129963898917
Soil3.scaffold_167323023_c1_1	Soil9.scaffold_816779774_c1_14	4.601123595505618
Soil3.scaffold_375371368_c1_1	Soil5.scaffold_183283646_c1_24	5.048780487804878
Soil3.scaffold_293059500_c1_1	Soil14.scaffold_280216268_c1_12	5.150501672240803
Soil3.scaffold_269957442_c1_1	Soil9.scaffold_766455321_c1_2	5.028662420382165
Soil3.scaffold_284582342_c1_1	Soil3.scaffold_408070428_c1_2	4.627450980392157
Soil3.scaffold_127846911_c1_1	Soil12.scaffold_266712765_c1_2	5.401234567901234
Soil3.scaffold_583368953_c1_1	Soil6.scaffold_86801766_c1_2	4.797244094488189
Soil3.scaffold_556116953_c1_1	T0.scaffold_786865677_c1_2	3.790748898678414
Soil3.scaffold_553329376_c1_1	T0.scaffold_786865677_c1_2	5.235294117647059
Soil3.scaffold_228275361_c1_2	Soil3.scaffold_414071996_c1_8	4.459574468085107
Soil3.scaffold_599080062_c1_29	Soil5.scaffold_395480119_c1_5	5.358344113842174
Soil3.scaffold_37485090_c1_2	Soil5.scaffold_249001418_c1_2	3.933920704845815
Soil3.scaffold_202054849_c1_1	Soil17.scaffold_332687915_c1_2	5.102990033222591
Soil3.scaffold_352165548_c1_1	Soil3.scaffold_285743490_c1_2	4.8923766816143495
Soil3.scaffold_62089797_c1_1	Soil16.scaffold_1312607544_c1_3	5.1017964071856285
Soil3.scaffold_469229650_c1_1	Soil17.scaffold_332687915_c1_2	4.974468085106383
Soil3.scaffold_336787855_c1_1	Soil14.scaffold_280216268_c1_12	4.253561253561253
Soil3.scaffold_396500639_c1_3	Soil3.scaffold_414071996_c1_8	5.184615384615385
Soil3.scaffold_31864478_c1_1	Soil5.scaffold_544698016_c1_2	5.299019607843137
Soil3.scaffold_435521741_c1_1	Soil15.scaffold_175810641_c1_3	3.692963752665245
Soil3.scaffold_31341302_c1_1	Soil6.scaffold_95998780_c1_2	4.616632860040568
Soil3.scaffold_506449653_c1_1	Soil9.scaffold_766455321_c1_2	5.339743589743589
Soil3.scaffold_27048810_c1_1	Soil5.scaffold_416434691_c1_48	4.967889908256881
Soil3.scaffold_583880664_c1_1	Soil15.scaffold_16321085_c1_6	5.127300613496932
Soil3.scaffold_189263175_c1_1	Soil9.scaffold_209032411_c1_3	5.038888888888889
Soil3.scaffold_246186750_c1_1	Soil6.scaffold_95998780_c1_2	4.871632329635499
Soil3.scaffold_334575927_c1_1	Soil6.scaffold_86801766_c1_2	4.5548523206751055
Soil3.scaffold_74649590_c1_14	Soil3.scaffold_530221301_c1_2	4.756073858114674
Soil3.scaffold_220327572_c1_1	T0.scaffold_786865677_c1_2	5.1603960396039605
Soil3.scaffold_242441672_c1_1	Soil5.scaffold_133269568_c1_66	3.5314285714285716
Soil3.scaffold_364714375_c1_1	Soil6.scaffold_95998780_c1_2	4.371212121212121
Soil3.scaffold_46704472_c1_7	Soil15.scaffold_16321085_c1_6	5.054968287526427
Soil3.scaffold_596047842_c1_1	Soil16.scaffold_313969256_c1_10	4.10062893081761
Soil3.scaffold_505476261_c1_2	Soil5.scaffold_249001418_c1_2	5.256410256410256
Soil3.scaffold_370204557_c1_2	Soil3.scaffold_414071996_c1_8	5.268398268398268
Soil3.scaffold_412201567_c1_1	Soil9.scaffold_766455321_c1_2	5.228650137741047
Soil5.scaffold_339605269_c1_5	T0.scaffold_961428012_c1_71	2.9333888426311407
Soil5.scaffold_282667255_c1_1	Soil12.scaffold_266712765_c1_2	4.5949656750572085
Soil5.scaffold_510987748_c1_1	Soil16.scaffold_1312607544_c1_3	4.704156479217604
Soil5.scaffold_179483344_c1_1	Soil9.scaffold_175774837_c1_4	5.132075471698113
Soil5.scaffold_376700394_c1_2	Soil12.scaffold_266712765_c1_2	4.903896103896104
Soil5.scaffold_132959859_c1_6	Soil5.scaffold_549495455_c1_6	4.386129334582943
Soil5.scaffold_423475519_c1_1	Soil17.scaffold_332687915_c1_2	4.3390625
Soil5.scaffold_326884169_c1_1	Soil9.scaffold_175774837_c1_4	4.768959435626102
Soil5.scaffold_148011855_c1_1	Soil6.scaffold_86801766_c1_2	4.89811320754717
Soil5.scaffold_552815412_c1_2	Soil5.scaffold_549495455_c1_6	4.462121212121212
Soil5.scaffold_514405218_c1_11	Soil9.scaffold_209032411_c1_3	4.6361386138613865
Soil5.scaffold_426188557_c1_1	Soil11.scaffold_211583530_c1_6	4.9557109557109555
Soil5.scaffold_181486499_c1_3	Soil5.scaffold_82918708_c1_12	4.57945945945946
Soil5.scaffold_444305363_c1_1	Soil3.scaffold_408070428_c1_2	4.542553191489362
Soil5.scaffold_430701993_c1_1	Soil14.scaffold_280216268_c1_12	5.073059360730594
Soil5.scaffold_344852999_c1_1	T0.scaffold_786865677_c1_2	3.901075268817204
Soil5.scaffold_537670216_c1_1	Soil12.scaffold_266712765_c1_2	4.9300411522633745
Soil5.scaffold_338947275_c1_1	Soil5.scaffold_434220697_c1_2	5.207843137254902
Soil5.scaffold_568918686_c1_1	Soil6.scaffold_460055642_c1_2	5.405238828967643
Soil5.scaffold_187815321_c1_1	Soil9.scaffold_711597457_c1_4	5.52093023255814
Soil5.scaffold_86898616_c1_1	Soil17.scaffold_332687915_c1_2	4.619771863117871
Soil5.scaffold_283674501_c1_1	Soil17.scaffold_332687915_c1_2	4.717709720372836
Soil5.scaffold_187707630_c1_3	Soil5.scaffold_544698016_c1_2	4.575916230366492
Soil5.scaffold_167258139_c1_1	T0.scaffold_172278247_c1_4	5.224806201550388
Soil5.scaffold_297430877_c1_1	Soil3.scaffold_414071996_c1_8	4.231111111111111
Soil5.scaffold_34082151_c1_7	Soil11.scaffold_65427810_c1_20	5.391666666666667
Soil5.scaffold_342438982_c1_1	Soil15.scaffold_16321085_c1_6	5.2425
Soil5.scaffold_85834731_c1_1	Soil6.scaffold_312871021_c1_4	4.7972413793103446
Soil5.scaffold_247056452_c1_1	Soil3.scaffold_285743490_c1_2	4.445525291828794
Soil5.scaffold_305592404_c1_1	Soil3.scaffold_414071996_c1_8	4.8125
Soil5.scaffold_525980190_c1_22	Soil5.scaffold_384418492_c1_161	5.134660421545667
Soil5.scaffold_550777558_c1_1	T0.scaffold_273218771_c1_2	4.749063670411985
Soil5.scaffold_235811802_c1_1	Soil14.scaffold_280216268_c1_12	5.3842239185750635
Soil5.scaffold_213870767_c1_1	Soil16.scaffold_804923086_c1_3	4.59009009009009
Soil5.scaffold_33740271_c1_1	Soil17.scaffold_332687915_c1_2	4.245833333333334
Soil5.scaffold_352638952_c1_1	T0.scaffold_786865677_c1_2	5.149321266968326
Soil5.scaffold_284506813_c1_1	Soil6.scaffold_95998780_c1_2	5.058282208588957
Soil5.scaffold_114379860_c1_1	Soil12.scaffold_266712765_c1_2	5.2727272727272725
Soil5.scaffold_203247709_c1_1	Soil3.scaffold_285743490_c1_2	5.256830601092896
Soil5.scaffold_178861028_c1_1	T0.scaffold_273218771_c1_2	4.6721649484536085
Soil5.scaffold_485689044_c1_1	Soil17.scaffold_274056314_c1_61	4.767857142857143
Soil5.scaffold_317035920_c1_1	Soil3.scaffold_285743490_c1_2	5.006968641114983
Soil5.scaffold_271035438_c1_1	Soil3.scaffold_285743490_c1_2	4.520958083832335
Soil5.scaffold_75236557_c1_1	Soil5.scaffold_183283646_c1_24	4.185929648241206
Soil5.scaffold_398114878_c1_1	Soil17.scaffold_332687915_c1_2	5.035267349260523
Soil5.scaffold_287011042_c1_1	Soil3.scaffold_333288240_c1_8	4.9523809523809526
Soil5.scaffold_473197893_c1_1	Soil17.scaffold_332687915_c1_2	4.877729257641922
Soil5.scaffold_260742538_c1_23	Soil16.scaffold_313969256_c1_10	4.023166023166024
Soil5.scaffold_482927418_c1_1	Soil9.scaffold_209032411_c1_3	5.434004474272931
Soil5.scaffold_58549098_c1_1	Soil5.scaffold_249001418_c1_2	4.695422535211268
Soil5.scaffold_235673317_c1_1	Soil3.scaffold_414071996_c1_8	5.427561837455831
Soil5.scaffold_370000251_c1_1	Soil5.scaffold_384418492_c1_161	4.082536924413554
Soil5.scaffold_484561639_c1_4	Soil5.scaffold_544698016_c1_2	4.312072892938496
Soil5.scaffold_414464903_c1_1	Soil5.scaffold_434220697_c1_2	4.1797603195739015
Soil5.scaffold_225756440_c1_1	Soil3.scaffold_414071996_c1_8	5.282608695652174
Soil5.scaffold_376523767_c1_1	T0.scaffold_273218771_c1_2	4.934782608695652
Soil5.scaffold_309951702_c1_1	T0.scaffold_172278247_c1_4	5.091397849462366
