query_id,phylum,representative_id,representative_index,alignment_score,alignment_length,identities,identity_percent
Soil11.scaffold_587233302_c1_1,Bacillota,A0A5J5HPE3|unreviewed|nitrate,2,4221.0,1595,693,43.44827586206896
Soil11.scaffold_587233302_c1_1,Bacillota,A0A941E077|unreviewed|nitrate,3,4300.0,1570,709,45.15923566878981
Soil11.scaffold_587233302_c1_1,Bacillota,A0A2T5G6I1|unreviewed|nitrate,4,4423.0,1552,736,47.42268041237113
Soil11.scaffold_587233302_c1_1,Bacillota,A0A0R1H9J7|unreviewed|nitrate,5,4238.0,1588,693,43.63979848866499
Soil11.scaffold_587233302_c1_1,Actinomycetota,Q1AWQ7|unreviewed|Nitrate,1,4359.0,1558,721,46.277278562259305
Soil11.scaffold_587233302_c1_1,Actinomycetota,A0A511D6I2|unreviewed|Nitrate,2,4175.0,1612,697,43.23821339950372
Soil11.scaffold_587233302_c1_1,Actinomycetota,A0A7K0W3P6|unreviewed|Nitrate,3,4116.0,1592,681,42.77638190954774
Soil11.scaffold_587233302_c1_1,Actinomycetota,U1QE67|unreviewed|nitrate,4,3970.0,1659,654,39.42133815551537
Soil11.scaffold_587233302_c1_1,Actinomycetota,A0A8J3NMA7|unreviewed|nitrate,5,4110.0,1615,682,42.22910216718267
Soil11.scaffold_587233302_c1_1,acidobacteriota,A0A936F3S9|unreviewed|nitrate,1,4037.0,1602,661,41.26092384519351
Soil11.scaffold_587233302_c1_1,acidobacteriota,A0A953EJI2|unreviewed|nitrate,2,4089.0,1606,673,41.90535491905355
Soil11.scaffold_587233302_c1_1,acidobacteriota,A0A1F2RVC6|unreviewed|nitrate,3,3982.0,1625,649,39.93846153846154
Soil11.scaffold_587233302_c1_1,acidobacteriota,A0A9D7SI32|unreviewed|nitrate,4,4049.0,1602,664,41.4481897627965
Soil11.scaffold_587233302_c1_1,acidobacteriota,A0A1F2SV26|unreviewed|4Fe-4S,5,3249.0,1503,538,35.79507651363939
Soil11.scaffold_587233302_c1_1,chloroflexota,A0A2N2MAT5|unreviewed|nitrate,1,4044.0,1602,661,41.26092384519351
Soil11.scaffold_587233302_c1_1,chloroflexota,A0A949W021|unreviewed|nitrate,2,4054.0,1625,670,41.23076923076923
Soil11.scaffold_587233302_c1_1,chloroflexota,A0A1F8L172|unreviewed|nitrate,3,4050.0,1599,674,42.151344590368986
Soil11.scaffold_587233302_c1_1,chloroflexota,A0A8J6NLS7|unreviewed|nitrate,4,3972.0,1614,648,40.14869888475837
Soil11.scaffold_587233302_c1_1,chloroflexota,A0A2M8CTB5|unreviewed|nitrate,5,4008.0,1605,661,41.18380062305296
Soil11.scaffold_587233302_c1_1,verrucomicrobiota,A0A849XW34|unreviewed|nitrate,1,4095.0,1597,669,41.89104571070757
Soil11.scaffold_587233302_c1_1,verrucomicrobiota,A0A933UFK4|unreviewed|nitrate,2,4092.0,1601,673,42.03622735790131
Soil11.scaffold_587233302_c1_1,verrucomicrobiota,A0A934F0J8|unreviewed|nitrate,3,4080.0,1597,669,41.89104571070757
Soil11.scaffold_587233302_c1_1,verrucomicrobiota,A0A832HWY0|unreviewed|Nitrate,4,3679.0,1581,601,38.01391524351676
Soil11.scaffold_587233302_c1_1,verrucomicrobiota,A0A7C4LZE2|unreviewed|nitrate,5,4070.0,1602,668,41.69787765293383
Soil11.scaffold_587233302_c1_1,gemmatimonadota,A0A2D5ZQA8|unreviewed|nitrate,1,3976.0,1620,648,40.0
Soil11.scaffold_587233302_c1_1,gemmatimonadota,A0A524IW10|unreviewed|nitrate,2,4022.0,1595,663,41.56739811912226
Soil11.scaffold_587233302_c1_1,gemmatimonadota,A0A933BW52|unreviewed|nitrate,3,3837.0,1667,626,37.552489502099576
Soil11.scaffold_587233302_c1_1,gemmatimonadota,A0A945GIP3|unreviewed|nitrate,4,4014.0,1621,662,40.83898827884022
Soil11.scaffold_587233302_c1_1,gemmatimonadota,A0A9D7CFV4|unreviewed|nitrate,5,3963.0,1619,649,40.08647313156269
Soil11.scaffold_587233302_c1_1,myxococcota,Q2IJW3|unreviewed|nitrate,1,3992.0,1616,656,40.5940594059406
Soil11.scaffold_587233302_c1_1,myxococcota,B4ULS9|unreviewed|nitrate,2,3991.0,1617,657,40.63079777365491
Soil11.scaffold_587233302_c1_1,myxococcota,A0A928XR34|unreviewed|nitrate,3,3978.0,1619,649,40.08647313156269
Soil11.scaffold_587233302_c1_1,myxococcota,A7HGD0|unreviewed|nitrate,4,3870.0,1635,649,39.694189602446485
Soil11.scaffold_587233302_c1_1,myxococcota,A0A947HI39|unreviewed|nitrate,5,4096.0,1597,665,41.64057608015028
Soil11.scaffold_65427810_c1_20,Bacteroidota,A0A399D723|unreviewed|nitrate,1,3988.0,1583,644,40.682248894504106
Soil11.scaffold_65427810_c1_20,Bacteroidota,A0A9D9VY91|unreviewed|nitrate,2,3957.0,1592,637,40.01256281407035
Soil11.scaffold_65427810_c1_20,Bacteroidota,A0A1G6KWR1|unreviewed|nitrate,3,4153.0,1580,671,42.46835443037975
Soil11.scaffold_65427810_c1_20,Bacteroidota,A0A1F3NZE7|unreviewed|nitrate,4,3993.0,1581,651,41.17647058823529
Soil11.scaffold_65427810_c1_20,Bacteroidota,A0A434AV88|unreviewed|nitrate,5,4116.0,1588,665,41.876574307304786
Soil11.scaffold_65427810_c1_20,Pseudomonadota,A0A149V6R9|unreviewed|4Fe-4S,1,4136.0,1603,686,42.79475982532751
Soil11.scaffold_65427810_c1_20,Pseudomonadota,A0A4Q7N714|unreviewed|nitrate,2,4292.0,1587,708,44.61247637051039
Soil11.scaffold_65427810_c1_20,Pseudomonadota,A0A0N9VQU4|unreviewed|nitrate,3,4151.0,1581,677,42.82099936748893
Soil11.scaffold_65427810_c1_20,Pseudomonadota,A0A5B0BNB7|unreviewed|nitrate,4,4190.0,1598,682,42.67834793491865
Soil11.scaffold_65427810_c1_20,Pseudomonadota,A0A7Z0I064|unreviewed|nitrate,5,4261.0,1580,702,44.43037974683544
Soil11.scaffold_65427810_c1_20,Bacillota,A0A1I1VAQ5|unreviewed|nitrate,1,4331.0,1543,714,46.27349319507453
Soil11.scaffold_65427810_c1_20,Bacillota,A0A5J5HPE3|unreviewed|nitrate,2,4380.0,1521,721,47.40302432610125
Soil11.scaffold_65427810_c1_20,Bacillota,A0A941E077|unreviewed|nitrate,3,4269.0,1541,700,45.425048669695
Soil11.scaffold_65427810_c1_20,Bacillota,A0A2T5G6I1|unreviewed|nitrate,4,4615.0,1507,787,52.222959522229594
Soil11.scaffold_65427810_c1_20,Bacillota,A0A0R1H9J7|unreviewed|nitrate,5,4227.0,1550,693,44.70967741935484
Soil11.scaffold_65427810_c1_20,Actinomycetota,Q1AWQ7|unreviewed|Nitrate,1,5089.0,1417,868,61.25617501764291
Soil11.scaffold_65427810_c1_20,Actinomycetota,A0A511D6I2|unreviewed|Nitrate,2,4637.0,1528,788,51.57068062827225
Soil11.scaffold_65427810_c1_20,Actinomycetota,A0A7K0W3P6|unreviewed|Nitrate,3,4583.0,1494,766,51.27175368139224
Soil11.scaffold_65427810_c1_20,Actinomycetota,U1QE67|unreviewed|nitrate,4,4399.0,1571,740,47.10375556970083
Soil11.scaffold_65427810_c1_20,Actinomycetota,A0A8J3NMA7|unreviewed|nitrate,5,4627.0,1517,784,51.68094924192486
Soil11.scaffold_65427810_c1_20,acidobacteriota,A0A936F3S9|unreviewed|nitrate,1,4034.0,1582,659,41.65613147914033
Soil11.scaffold_65427810_c1_20,acidobacteriota,A0A953EJI2|unreviewed|nitrate,2,4093.0,1565,663,42.364217252396166
Soil11.scaffold_65427810_c1_20,acidobacteriota,A0A1F2RVC6|unreviewed|nitrate,3,4104.0,1578,668,42.33206590621039
Soil11.scaffold_65427810_c1_20,acidobacteriota,A0A9D7SI32|unreviewed|nitrate,4,4037.0,1582,658,41.5929203539823
Soil11.scaffold_65427810_c1_20,acidobacteriota,A0A1F2SV26|unreviewed|4Fe-4S,5,3316.0,1460,548,37.534246575342465
Soil11.scaffold_65427810_c1_20,chloroflexota,A0A2N2MAT5|unreviewed|nitrate,1,4051.0,1582,663,41.90897597977244
Soil11.scaffold_65427810_c1_20,chloroflexota,A0A949W021|unreviewed|nitrate,2,4129.0,1565,673,43.00319488817891
Soil11.scaffold_65427810_c1_20,chloroflexota,A0A1F8L172|unreviewed|nitrate,3,4046.0,1562,665,42.57362355953905
Soil11.scaffold_65427810_c1_20,chloroflexota,A0A8J6NLS7|unreviewed|nitrate,4,4068.0,1559,656,42.07825529185375
Soil11.scaffold_65427810_c1_20,chloroflexota,A0A2M8CTB5|unreviewed|nitrate,5,4071.0,1558,660,42.3620025673941
Soil11.scaffold_65427810_c1_20,verrucomicrobiota,A0A849XW34|unreviewed|nitrate,1,4059.0,1580,666,42.151898734177216
Soil11.scaffold_65427810_c1_20,verrucomicrobiota,A0A933UFK4|unreviewed|nitrate,2,4034.0,1587,661,41.650913673597984
Soil11.scaffold_65427810_c1_20,verrucomicrobiota,A0A934F0J8|unreviewed|nitrate,3,4060.0,1578,671,42.52217997465146
Soil11.scaffold_65427810_c1_20,verrucomicrobiota,A0A832HWY0|unreviewed|Nitrate,4,3710.0,1551,609,39.26499032882012
Soil11.scaffold_65427810_c1_20,verrucomicrobiota,A0A7C4LZE2|unreviewed|nitrate,5,4042.0,1585,672,42.397476340694006
Soil11.scaffold_65427810_c1_20,gemmatimonadota,A0A2D5ZQA8|unreviewed|nitrate,1,4005.0,1583,653,41.25078963992419
Soil11.scaffold_65427810_c1_20,gemmatimonadota,A0A524IW10|unreviewed|nitrate,2,4126.0,1558,686,44.03080872913993
Soil11.scaffold_65427810_c1_20,gemmatimonadota,A0A933BW52|unreviewed|nitrate,3,4042.0,1618,663,40.97651421508034
Soil11.scaffold_65427810_c1_20,gemmatimonadota,A0A945GIP3|unreviewed|nitrate,4,4087.0,1572,660,41.98473282442748
Soil11.scaffold_65427810_c1_20,gemmatimonadota,A0A9D7CFV4|unreviewed|nitrate,5,3993.0,1591,652,40.98051539912005
Soil11.scaffold_65427810_c1_20,myxococcota,Q2IJW3|unreviewed|nitrate,1,4107.0,1556,682,43.83033419023136
Soil11.scaffold_65427810_c1_20,myxococcota,B4ULS9|unreviewed|nitrate,2,4109.0,1556,682,43.83033419023136
Soil11.scaffold_65427810_c1_20,myxococcota,A0A928XR34|unreviewed|nitrate,3,3998.0,1592,655,41.14321608040201
Soil11.scaffold_65427810_c1_20,myxococcota,A7HGD0|unreviewed|nitrate,4,4060.0,1567,684,43.65028717294193
Soil11.scaffold_65427810_c1_20,myxococcota,A0A947HI39|unreviewed|nitrate,5,4000.0,1593,658,41.30571249215317
Soil11.scaffold_211583530_c1_6,Bacteroidota,A0A399D723|unreviewed|nitrate,1,3970.0,1638,642,39.1941391941392
Soil11.scaffold_211583530_c1_6,Bacteroidota,A0A9D9VY91|unreviewed|nitrate,2,3973.0,1639,644,39.292251372788286
Soil11.scaffold_211583530_c1_6,Bacteroidota,A0A1G6KWR1|unreviewed|nitrate,3,4894.0,1520,826,54.34210526315789
Soil11.scaffold_211583530_c1_6,Bacteroidota,A0A1F3NZE7|unreviewed|nitrate,4,4064.0,1625,663,40.8
Soil11.scaffold_211583530_c1_6,Bacteroidota,A0A434AV88|unreviewed|nitrate,5,4825.0,1525,808,52.98360655737705
Soil11.scaffold_211583530_c1_6,Pseudomonadota,A0A149V6R9|unreviewed|4Fe-4S,1,4717.0,1558,794,50.96277278562259
Soil11.scaffold_211583530_c1_6,Pseudomonadota,A0A4Q7N714|unreviewed|nitrate,2,5274.0,1479,906,61.257606490872206
Soil11.scaffold_211583530_c1_6,Pseudomonadota,A0A0N9VQU4|unreviewed|nitrate,3,5065.0,1483,862,58.12542144302091
Soil11.scaffold_211583530_c1_6,Pseudomonadota,A0A5B0BNB7|unreviewed|nitrate,4,5219.0,1482,897,60.526315789473685
Soil11.scaffold_211583530_c1_6,Pseudomonadota,A0A7Z0I064|unreviewed|nitrate,5,5139.0,1488,879,59.07258064516129
Soil11.scaffold_211583530_c1_6,Bacillota,A0A1I1VAQ5|unreviewed|nitrate,1,4306.0,1623,715,44.05422057917437
Soil11.scaffold_211583530_c1_6,Bacillota,A0A5J5HPE3|unreviewed|nitrate,2,4281.0,1619,702,43.36009882643607
Soil11.scaffold_211583530_c1_6,Bacillota,A0A941E077|unreviewed|nitrate,3,4332.0,1594,715,44.85570890840652
Soil11.scaffold_211583530_c1_6,Bacillota,A0A2T5G6I1|unreviewed|nitrate,4,4518.0,1581,757,47.881087919038585
Soil11.scaffold_211583530_c1_6,Bacillota,A0A0R1H9J7|unreviewed|nitrate,5,4332.0,1624,721,44.396551724137936
Soil11.scaffold_211583530_c1_6,Actinomycetota,Q1AWQ7|unreviewed|Nitrate,1,4410.0,1576,730,46.31979695431472
Soil11.scaffold_211583530_c1_6,Actinomycetota,A0A511D6I2|unreviewed|Nitrate,2,4290.0,1639,720,43.92922513727883
Soil11.scaffold_211583530_c1_6,Actinomycetota,A0A7K0W3P6|unreviewed|Nitrate,3,4245.0,1611,708,43.947858472998135
Soil11.scaffold_211583530_c1_6,Actinomycetota,U1QE67|unreviewed|nitrate,4,4091.0,1677,673,40.13118664281455
Soil11.scaffold_211583530_c1_6,Actinomycetota,A0A8J3NMA7|unreviewed|nitrate,5,4196.0,1639,695,42.4039048200122
Soil11.scaffold_211583530_c1_6,acidobacteriota,A0A936F3S9|unreviewed|nitrate,1,4085.0,1628,661,40.6019656019656
Soil11.scaffold_211583530_c1_6,acidobacteriota,A0A953EJI2|unreviewed|nitrate,2,4114.0,1631,677,41.50827713059473
Soil11.scaffold_211583530_c1_6,acidobacteriota,A0A1F2RVC6|unreviewed|nitrate,3,4097.0,1645,667,40.547112462006076
Soil11.scaffold_211583530_c1_6,acidobacteriota,A0A9D7SI32|unreviewed|nitrate,4,4090.0,1628,662,40.663390663390665
Soil11.scaffold_211583530_c1_6,acidobacteriota,A0A1F2SV26|unreviewed|4Fe-4S,5,3323.0,1515,549,36.23762376237624
Soil11.scaffold_211583530_c1_6,chloroflexota,A0A2N2MAT5|unreviewed|nitrate,1,4138.0,1625,676,41.6
Soil11.scaffold_211583530_c1_6,chloroflexota,A0A949W021|unreviewed|nitrate,2,4140.0,1650,689,41.75757575757576
Soil11.scaffold_211583530_c1_6,chloroflexota,A0A1F8L172|unreviewed|nitrate,3,4067.0,1631,669,41.017780502759045
Soil11.scaffold_211583530_c1_6,chloroflexota,A0A8J6NLS7|unreviewed|nitrate,4,4087.0,1629,672,41.25230202578269
Soil11.scaffold_211583530_c1_6,chloroflexota,A0A2M8CTB5|unreviewed|nitrate,5,4106.0,1614,678,42.00743494423792
Soil11.scaffold_211583530_c1_6,verrucomicrobiota,A0A849XW34|unreviewed|nitrate,1,4129.0,1632,672,41.17647058823529
Soil11.scaffold_211583530_c1_6,verrucomicrobiota,A0A933UFK4|unreviewed|nitrate,2,4151.0,1619,680,42.001235330450896
Soil11.scaffold_211583530_c1_6,verrucomicrobiota,A0A934F0J8|unreviewed|nitrate,3,4161.0,1618,690,42.64524103831891
Soil11.scaffold_211583530_c1_6,verrucomicrobiota,A0A832HWY0|unreviewed|Nitrate,4,3746.0,1608,616,38.308457711442784
Soil11.scaffold_211583530_c1_6,verrucomicrobiota,A0A7C4LZE2|unreviewed|nitrate,5,4142.0,1620,685,42.28395061728395
Soil11.scaffold_211583530_c1_6,gemmatimonadota,A0A2D5ZQA8|unreviewed|nitrate,1,4128.0,1638,675,41.208791208791204
Soil11.scaffold_211583530_c1_6,gemmatimonadota,A0A524IW10|unreviewed|nitrate,2,4180.0,1621,700,43.183220234423196
Soil11.scaffold_211583530_c1_6,gemmatimonadota,A0A933BW52|unreviewed|nitrate,3,3981.0,1681,648,38.54848304580607
Soil11.scaffold_211583530_c1_6,gemmatimonadota,A0A945GIP3|unreviewed|nitrate,4,4093.0,1632,665,40.747549019607845
Soil11.scaffold_211583530_c1_6,gemmatimonadota,A0A9D7CFV4|unreviewed|nitrate,5,4078.0,1627,672,41.30301167793485
Soil11.scaffold_211583530_c1_6,myxococcota,Q2IJW3|unreviewed|nitrate,1,4182.0,1618,698,43.13967861557478
Soil11.scaffold_211583530_c1_6,myxococcota,B4ULS9|unreviewed|nitrate,2,4169.0,1620,694,42.839506172839506
Soil11.scaffold_211583530_c1_6,myxococcota,A0A928XR34|unreviewed|nitrate,3,4012.0,1636,651,39.7921760391198
Soil11.scaffold_211583530_c1_6,myxococcota,A7HGD0|unreviewed|nitrate,4,3983.0,1640,659,40.1829268292683
Soil11.scaffold_211583530_c1_6,myxococcota,A0A947HI39|unreviewed|nitrate,5,4172.0,1624,683,42.05665024630542
Soil12.scaffold_266712765_c1_2,Bacteroidota,A0A399D723|unreviewed|nitrate,1,3980.0,1620,642,39.62962962962963
Soil12.scaffold_266712765_c1_2,Bacteroidota,A0A9D9VY91|unreviewed|nitrate,2,3963.0,1624,644,39.6551724137931
Soil12.scaffold_266712765_c1_2,Bacteroidota,A0A1G6KWR1|unreviewed|nitrate,3,4860.0,1496,820,54.81283422459893
Soil12.scaffold_266712765_c1_2,Bacteroidota,A0A1F3NZE7|unreviewed|nitrate,4,3998.0,1623,649,39.98767714109673
Soil12.scaffold_266712765_c1_2,Bacteroidota,A0A434AV88|unreviewed|nitrate,5,4860.0,1494,816,54.61847389558233
Soil12.scaffold_266712765_c1_2,Pseudomonadota,A0A149V6R9|unreviewed|4Fe-4S,1,4786.0,1522,806,52.95663600525624
Soil12.scaffold_266712765_c1_2,Pseudomonadota,A0A4Q7N714|unreviewed|nitrate,2,5285.0,1452,908,62.53443526170799
Soil12.scaffold_266712765_c1_2,Pseudomonadota,A0A0N9VQU4|unreviewed|nitrate,3,5002.0,1477,849,57.48138117806364
Soil12.scaffold_266712765_c1_2,Pseudomonadota,A0A5B0BNB7|unreviewed|nitrate,4,5088.0,1488,873,58.66935483870967
Soil12.scaffold_266712765_c1_2,Pseudomonadota,A0A7Z0I064|unreviewed|nitrate,5,5336.0,1448,921,63.60497237569061
Soil12.scaffold_266712765_c1_2,Bacillota,A0A1I1VAQ5|unreviewed|nitrate,1,4320.0,1594,714,44.79297365119197
Soil12.scaffold_266712765_c1_2,Bacillota,A0A5J5HPE3|unreviewed|nitrate,2,4233.0,1596,694,43.48370927318296
Soil12.scaffold_266712765_c1_2,Bacillota,A0A941E077|unreviewed|nitrate,3,4268.0,1596,704,44.11027568922306
Soil12.scaffold_266712765_c1_2,Bacillota,A0A2T5G6I1|unreviewed|nitrate,4,4479.0,1571,758,48.24952259707193
Soil12.scaffold_266712765_c1_2,Bacillota,A0A0R1H9J7|unreviewed|nitrate,5,4218.0,1613,690,42.77743335399876
Soil12.scaffold_266712765_c1_2,Actinomycetota,Q1AWQ7|unreviewed|Nitrate,1,4414.0,1565,745,47.6038338658147
Soil12.scaffold_266712765_c1_2,Actinomycetota,A0A511D6I2|unreviewed|Nitrate,2,4274.0,1623,719,44.30067775723968
Soil12.scaffold_266712765_c1_2,Actinomycetota,A0A7K0W3P6|unreviewed|Nitrate,3,4215.0,1603,709,44.229569557080474
Soil12.scaffold_266712765_c1_2,Actinomycetota,U1QE67|unreviewed|nitrate,4,4078.0,1658,672,40.5307599517491
Soil12.scaffold_266712765_c1_2,Actinomycetota,A0A8J3NMA7|unreviewed|nitrate,5,4195.0,1630,706,43.31288343558282
Soil12.scaffold_266712765_c1_2,acidobacteriota,A0A936F3S9|unreviewed|nitrate,1,4025.0,1612,649,40.2605459057072
Soil12.scaffold_266712765_c1_2,acidobacteriota,A0A953EJI2|unreviewed|nitrate,2,4030.0,1619,660,40.76590487955528
Soil12.scaffold_266712765_c1_2,acidobacteriota,A0A1F2RVC6|unreviewed|nitrate,3,4034.0,1628,654,40.171990171990174
Soil12.scaffold_266712765_c1_2,acidobacteriota,A0A9D7SI32|unreviewed|nitrate,4,4035.0,1611,651,40.4096834264432
Soil12.scaffold_266712765_c1_2,acidobacteriota,A0A1F2SV26|unreviewed|4Fe-4S,5,3305.0,1506,548,36.387782204515275
Soil12.scaffold_266712765_c1_2,chloroflexota,A0A2N2MAT5|unreviewed|nitrate,1,4124.0,1607,674,41.94150591163659
